OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
12,Southern Georgia,No,31643,3763,ZCTA,ZCTA5 31643,2325,256,499,159,21.5,6.4,497,150,21.4,6,293,108,12.6,4.4,466,139,20,5.6,291,126,12.5,5.2,171,92,7.4,3.9,87,66,3.7,2.8,21,33,0.9,1.4,996,219,42.8,8.2,1050,217,45.2,7.9,279,118,12,4.9,134900,22248,2.09111885799391,0.0646026690704715
13,Northwest Georgia,Partial,30178,3256,ZCTA,ZCTA5 30178,956,196,107,102,11.2,10.4,166,101,17.4,9.9,137,78,14.3,7.6,143,90,15,8.9,244,101,25.5,9.2,92,69,9.6,7,67,84,7,8.7,0,23,0,2.4,273,143,28.6,13.8,524,156,54.8,11.9,159,111,16.6,11.1,171000,43792,0.930626168625765,0.0136906094140511
14,Southern Georgia,No,31645,3764,ZCTA,ZCTA5 31645,1126,220,260,116,23.1,9.3,155,64,13.8,5,357,136,31.7,10.4,216,88,19.2,6.9,94,79,8.3,6.8,26,31,2.3,2.7,10,24,0.9,2.1,8,30,0.7,2.6,415,132,36.9,9.3,667,180,59.2,11.1,44,49,3.9,4.3,115900,10048,0.773200708074399,0.0124382536608064
15,NW / TR,Partial,30179,3257,ZCTA,ZCTA5 30179,5137,567,360,207,7,4,915,292,17.8,5.3,2052,491,39.9,8.5,799,245,15.6,4.4,774,323,15.1,6.1,210,119,4.1,2.3,18,33,0.4,0.6,9,33,0.2,0.6,1275,358,24.8,6.4,3625,636,70.6,9.6,237,128,4.6,2.4,130800,8739,1.20700587204325,0.0190667831577825
16,Southern Georgia,No,31647,3765,ZCTA,ZCTA5 31647,797,137,353,109,44.3,11.4,195,75,24.5,8.4,95,51,11.9,6,63,44,7.9,5.4,47,33,5.9,4,38,44,4.8,5.5,6,15,0.8,1.8,0,23,0,2.8,548,132,68.8,11.7,205,75,25.7,8.3,44,52,5.5,6.4,58600,13226,0.866939802159459,0.0112738390462799
17,ARC / NW / TR,Yes,30180,3258,ZCTA,ZCTA5 30180,9214,540,313,132,3.4,1.4,1169,288,12.7,3,2288,444,24.8,4.6,2450,375,26.6,3.8,1793,293,19.5,3,1027,232,11.1,2.4,146,74,1.6,0.8,28,59,0.3,0.6,1482,317,16.1,3.3,6531,651,70.9,5.7,1201,251,13,2.6,161500,3905,1.0317394844783,0.019090122545131
18,Southern Georgia,No,31648,3766,ZCTA,ZCTA5 31648,233,67,89,56,38.2,21.4,68,44,29.2,16.8,16,19,6.9,8,20,29,8.6,12.2,13,20,5.6,8.4,0,18,0,7.9,0,18,0,7.9,27,39,11.6,16.3,157,71,67.4,23.6,49,40,21,16.1,27,47,11.6,19.7,61000,19859,0.16484879828208,0.00112451526204716
19,NW / TR,Partial,30182,3259,ZCTA,ZCTA5 30182,801,182,71,50,8.9,5.9,286,120,35.7,12.6,117,57,14.6,6.4,194,106,24.2,12,31,30,3.9,3.7,99,90,12.4,10.9,0,18,0,2.3,3,19,0.4,2.4,357,130,44.6,12.7,342,124,42.7,12.1,102,94,12.7,11.3,114700,32658,0.793897881385516,0.00898750222861167
20,Southern Georgia,No,31649,3767,ZCTA,ZCTA5 31649,387,92,49,43,12.7,10.8,126,68,32.6,15.7,95,65,24.5,15.7,45,42,11.6,10.5,30,28,7.8,6.9,19,25,4.9,6.3,18,26,4.7,6.5,5,20,1.3,5.2,175,80,45.2,17.8,170,82,43.9,18.4,42,41,10.9,10.2,108900,22437,0.876620818179244,0.0121865271777315
21,ARC / NW,Partial,30183,3260,ZCTA,ZCTA5 30183,1794,257,65,61,3.6,3.3,39,54,2.2,3,167,88,9.3,4.7,322,132,17.9,6.9,543,168,30.3,8.3,368,172,20.5,9.1,205,112,11.4,6,85,102,4.7,5.6,104,82,5.8,4.5,1032,232,57.5,9.9,658,229,36.7,11.6,257200,31364,0.712094655846019,0.0157782561690891
22,Southern Georgia,No,31650,3768,ZCTA,ZCTA5 31650,1021,154,311,100,30.5,8.6,256,107,25.1,9.8,247,129,24.2,12.1,89,63,8.7,6,46,28,4.5,2.7,45,38,4.4,3.6,27,36,2.6,3.5,0,23,0,2.2,567,146,55.5,11.6,382,147,37.4,13.2,72,57,7.1,5.5,80300,17759,1.0783719176402,0.0252803415308107
23,ARC / NW,Yes,30184,3261,ZCTA,ZCTA5 30184,1993,245,34,45,1.7,2.2,238,123,11.9,6,418,151,21,7.1,546,179,27.4,8.3,440,124,22.1,5.6,247,96,12.4,4.6,68,57,3.4,2.8,2,27,0.1,1.4,272,131,13.6,6.4,1404,265,70.4,10.1,317,115,15.9,5.4,173600,12421,1.43451626446332,0.0178076151285345
24,Southern Georgia,No,31698,3769,ZCTA,ZCTA5 31698,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0187296700565405,2.05007373745123e-05
25,ARC / TR,Yes,30185,3262,ZCTA,ZCTA5 30185,1178,139,110,54,9.3,4.4,501,145,42.5,11.3,138,60,11.7,4.9,169,64,14.3,5.2,130,73,11,6.1,121,59,10.3,4.8,2,14,0.2,1.2,7,22,0.6,1.9,611,155,51.9,11.6,437,115,37.1,8.7,130,64,11,5.3,98500,17756,0.835229260003767,0.0160640631291619
26,Southern Georgia,No,31699,3770,ZCTA,ZCTA5 31699,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0719587319834609,0.000131133764467453
27,Atlanta Regional Commission,Yes,30187,3263,ZCTA,ZCTA5 30187,2503,261,30,52,1.2,2.1,330,128,13.2,4.9,537,184,21.5,7,545,166,21.8,6.2,699,196,27.9,7.3,305,88,12.2,3.3,57,43,2.3,1.7,0,33,0,1.3,360,138,14.4,5.3,1781,316,71.2,10.2,362,103,14.5,3.8,179500,16585,0.846401724713021,0.00867051311506665
28,Southwest Georgia,No,31701,3771,ZCTA,ZCTA5 31701,2615,249,467,112,17.9,3.9,1218,213,46.6,6.8,449,121,17.2,4.3,267,98,10.2,3.6,145,66,5.5,2.5,48,38,1.8,1.5,14,26,0.5,1,7,32,0.3,1.2,1685,240,64.4,6.8,861,169,32.9,5.7,69,56,2.6,2.1,79000,7184,0.827385688499578,0.00707646118641322
29,Atlanta Regional Commission,Yes,30188,3264,ZCTA,ZCTA5 30188,18677,705,265,104,1.4,0.6,344,120,1.8,0.6,2029,368,10.9,1.9,3862,429,20.7,2.2,5958,562,31.9,2.8,4759,492,25.5,2.5,1333,250,7.1,1.3,127,81,0.7,0.4,609,159,3.3,0.8,11849,797,63.4,3.5,6219,557,33.3,2.7,246600,7666,0.754670843671885,0.0112625079230686
30,Southwest Georgia,No,31705,3772,ZCTA,ZCTA5 31705,4892,361,1251,233,25.6,4.4,2341,322,47.9,5.5,591,138,12.1,2.7,310,85,6.3,1.7,281,107,5.7,2.1,70,58,1.4,1.2,28,27,0.6,0.6,20,36,0.4,0.7,3592,397,73.4,6.1,1182,194,24.2,3.5,118,74,2.4,1.5,71400,3658,1.22929094741314,0.0382025692626768
31,Atlanta Regional Commission,Yes,30189,3265,ZCTA,ZCTA5 30189,11147,438,137,92,1.2,0.8,141,96,1.3,0.9,664,142,6,1.3,2016,359,18.1,3.1,4708,447,42.2,3.6,2970,368,26.6,3.1,511,182,4.6,1.6,0,48,0,0.4,278,133,2.5,1.2,7388,590,66.3,4.6,3481,414,31.2,3.5,244200,5945,0.459353079500984,0.00546726920129653
32,Southwest Georgia,No,31707,3773,ZCTA,ZCTA5 31707,4442,367,250,143,5.6,3.2,1733,314,39,6.3,1109,201,25,4,594,127,13.4,2.6,515,128,11.6,2.7,182,78,4.1,1.7,34,41,0.8,0.9,25,46,0.6,1,1983,345,44.6,6.8,2218,270,49.9,4.5,241,99,5.4,2.2,109800,7415,0.57053067895143,0.00466149582228413
33,MG / TR,No,30204,3266,ZCTA,ZCTA5 30204,2995,311,317,143,10.6,4.6,636,178,21.2,5.5,643,163,21.5,5,523,203,17.5,6.5,482,161,16.1,5.1,353,155,11.8,5,41,48,1.4,1.6,0,36,0,1.2,953,228,31.8,6.9,1648,306,55,8.5,394,166,13.2,5.4,141500,17200,1.27415576441882,0.0315277251015032
34,River Valley,No,31709,3774,ZCTA,ZCTA5 31709,2933,297,443,141,15.1,4.6,859,221,29.3,6.9,532,146,18.1,4.6,442,182,15.1,6,391,145,13.3,4.8,180,81,6.1,2.7,60,61,2,2.1,26,39,0.9,1.3,1302,262,44.4,7.7,1365,275,46.5,8.1,266,109,9.1,3.6,115600,18135,1.32110413327601,0.031898898839596
35,ARC / TR,Yes,30205,3267,ZCTA,ZCTA5 30205,1006,99,56,53,5.6,5.3,60,52,6,5.1,73,42,7.3,4.1,198,72,19.7,6.8,158,72,15.7,7,239,62,23.8,5.7,211,63,21,5.9,11,21,1.1,2.1,116,74,11.5,7.3,429,110,42.6,10.1,461,90,45.8,7.8,266700,52168,0.602207230984237,0.00931176460294809
36,River Valley,No,31711,3775,ZCTA,ZCTA5 31711,179,71,37,25,20.7,11.5,106,58,59.2,22,28,22,15.6,10.4,8,9,4.5,5,0,18,0,10.3,0,18,0,10.3,0,18,0,10.3,0,23,0,12.6,143,63,79.9,15.1,36,30,20.1,14.7,0,34,0,19.2,78600,9732,0.88783242401263,0.0147363107402799
37,Three Rivers,No,30206,3268,ZCTA,ZCTA5 30206,1065,112,91,55,8.5,5.1,190,72,17.8,6.5,84,42,7.9,3.9,304,90,28.5,7.9,223,84,20.9,7.6,138,69,13,6.3,35,36,3.3,3.4,0,23,0,2.1,281,91,26.4,8.1,611,130,57.4,10.6,173,81,16.2,7.4,172900,13588,0.772463508509619,0.0140833006297759
38,River Valley,No,31712,3776,ZCTA,ZCTA5 31712,306,88,117,64,38.2,17.8,114,49,37.3,11.8,28,23,9.2,7,27,17,8.8,5,0,18,0,6,18,26,5.9,8.2,2,14,0.7,4.4,0,23,0,7.4,231,80,75.5,14.8,55,34,18,9.8,20,37,6.5,11.8,66000,19028,0.700179837505954,0.0121926814467748
39,Atlanta Regional Commission,Yes,30213,3269,ZCTA,ZCTA5 30213,6223,867,273,197,4.4,3.1,735,257,11.8,3.8,1515,442,24.3,6.2,1399,499,22.5,7.4,1570,436,25.2,6.1,657,228,10.6,3.4,74,55,1.2,0.9,0,48,0,0.8,1008,324,16.2,4.7,4484,797,72.1,7.9,731,240,11.7,3.5,166500,10635,1.04187162226607,0.0163413220540773
40,SG / SW,No,31714,3777,ZCTA,ZCTA5 31714,1575,183,408,146,25.9,8.8,512,171,32.5,10.2,220,90,14,5.5,240,125,15.2,7.7,163,80,10.3,4.9,22,37,1.4,2.4,0,27,0,1.7,10,31,0.6,2,920,225,58.4,12.6,623,173,39.6,10,32,56,2,3.5,83700,14028,1.69668778579972,0.0468880098925584
41,Atlanta Regional Commission,Yes,30214,3270,ZCTA,ZCTA5 30214,8958,332,463,133,5.2,1.5,202,120,2.3,1.3,1034,229,11.5,2.5,2247,351,25.1,3.8,2734,345,30.5,3.7,1935,350,21.6,3.8,248,112,2.8,1.2,95,59,1.1,0.7,665,179,7.4,2,6015,542,67.1,5.5,2278,373,25.4,4.1,218600,10892,0.788208510913294,0.0135406193568887
42,Southwest Georgia,No,31716,3778,ZCTA,ZCTA5 31716,892,137,235,82,26.3,8.2,276,95,30.9,9.5,118,76,13.2,8.3,140,62,15.7,6.5,92,54,10.3,5.8,31,51,3.5,5.7,0,18,0,2.1,0,23,0,2.5,511,125,57.3,10.9,350,112,39.2,11,31,58,3.5,6.5,78900,9093,0.90047042683596,0.0199243864297498
43,Atlanta Regional Commission,Yes,30215,3271,ZCTA,ZCTA5 30215,10897,438,212,100,1.9,0.9,247,121,2.3,1.1,833,203,7.6,1.8,1777,316,16.3,2.8,3236,375,29.7,3.2,3241,352,29.7,3,1294,223,11.9,2,57,51,0.5,0.5,459,156,4.2,1.4,5846,531,53.6,4.4,4592,420,42.1,3.5,273200,10012,0.835301633254727,0.018434490542023
44,River Valley,No,31719,3779,ZCTA,ZCTA5 31719,1969,213,401,130,20.4,6.2,734,206,37.3,9.7,180,85,9.1,4.2,336,138,17.1,6.8,167,81,8.5,4,95,64,4.8,3.2,28,41,1.4,2.1,28,44,1.4,2.2,1135,244,57.6,10.7,683,181,34.7,8.4,151,88,7.7,4.4,76500,16394,1.34251616759013,0.0234818599449597
45,Three Rivers,No,30216,3272,ZCTA,ZCTA5 30216,553,150,185,116,33.5,19,162,83,29.3,12.8,92,55,16.6,8.8,37,27,6.7,4.6,45,34,8.1,5.8,22,26,4,4.7,0,18,0,3.3,10,26,1.8,4.8,347,143,62.7,19.5,174,70,31.5,9.3,32,42,5.8,7.4,82600,24454,0.601615544636142,0.00757426006126715
46,SG / SW,No,31720,3780,ZCTA,ZCTA5 31720,91,34,32,29,35.2,29.4,36,21,39.6,18.4,9,10,9.9,10.2,14,10,15.4,9.7,0,18,0,20.2,0,18,0,20.2,0,18,0,20.2,0,23,0,24.7,68,36,74.7,28.5,23,23,25.3,23.8,0,34,0,37.8,66900,20890,0.164543353153044,0.00116702099594013
47,Three Rivers,Partial,30217,3273,ZCTA,ZCTA5 30217,2528,218,349,119,13.8,4.5,753,169,29.8,6.2,522,137,20.6,5.1,397,128,15.7,4.9,311,95,12.3,3.6,164,69,6.5,2.7,19,18,0.8,0.7,13,25,0.5,1,1102,206,43.6,7.2,1230,210,48.7,7.2,196,75,7.8,2.9,113100,12657,1.42118505247331,0.0664687600708218
48,Southwest Georgia,No,31721,3781,ZCTA,ZCTA5 31721,5645,314,216,81,3.8,1.4,635,177,11.2,3.1,1493,279,26.4,4.7,1193,223,21.1,3.8,1169,232,20.7,3.9,776,157,13.7,2.7,94,57,1.7,1,69,59,1.2,1,851,194,15.1,3.3,3855,425,68.3,6.5,939,177,16.6,3,171000,10147,1.84757136162536,0.0532895146569082
49,Three Rivers,No,30218,3274,ZCTA,ZCTA5 30218,723,160,131,100,18.1,13.2,136,91,18.8,11.9,282,127,39,15.4,48,49,6.6,6.6,51,52,7.1,7,56,52,7.7,6.9,3,14,0.4,1.9,16,32,2.2,4.4,267,135,36.9,16.8,381,146,52.7,16.5,75,62,10.4,8.3,113100,12859,0.989069542806855,0.0171014726768466
50,Southwest Georgia,No,31722,3782,ZCTA,ZCTA5 31722,117,40,50,29,42.7,20,47,23,40.2,13.9,8,9,6.8,7,5,10,4.3,8.8,5,14,4.3,12.1,2,14,1.7,11.6,0,18,0,15.7,0,23,0,19.2,97,37,82.9,13.9,18,20,15.4,16,2,32,1.7,27.4,55000,12199,0.089728681376148,0.0001869299076789
51,Three Rivers,Partial,30220,3275,ZCTA,ZCTA5 30220,1345,177,157,88,11.7,6.4,224,76,16.7,5.2,373,103,27.7,6.8,272,88,20.2,6,183,82,13.6,5.8,105,68,7.8,5,31,36,2.3,2.7,0,33,0,2.4,381,116,28.3,7.8,828,159,61.6,8.6,136,84,10.1,6.1,138600,14011,0.804352537177109,0.0137773284857367
52,Three Rivers,No,30222,3276,ZCTA,ZCTA5 30222,895,153,143,78,16,8.3,383,124,42.8,11.8,169,77,18.9,7.9,58,42,6.5,4.5,93,63,10.4,6.8,15,27,1.7,3,32,31,3.6,3.4,2,20,0.2,2.2,526,147,58.8,13,320,108,35.8,10.4,49,46,5.5,5,88200,7277,1.57325071863323,0.0363386000278103
53,Southwest Georgia,No,31784,3808,ZCTA,ZCTA5 31784,214,64,39,25,18.2,10.5,75,34,35,11.7,35,27,16.4,11.6,21,21,9.8,9.6,44,40,20.6,17.9,0,18,0,8.6,0,18,0,8.6,0,23,0,10.5,114,42,53.3,11.5,100,53,46.7,20.5,0,34,0,16.1,87900,39979,0.455087589863803,0.00832842686938735
54,Three Rivers,Yes,30223,3277,ZCTA,ZCTA5 30223,8332,554,959,227,11.5,2.6,2803,375,33.6,3.9,1420,315,17,3.6,1028,206,12.3,2.3,1267,244,15.2,2.8,769,189,9.2,2.2,86,82,1,1,0,48,0,0.6,3762,438,45.2,4.3,3715,449,44.6,4.5,855,211,10.3,2.4,112000,8908,1.14471653353619,0.0276404919562312
55,RV / SW,No,31787,3809,ZCTA,ZCTA5 31787,414,93,66,39,15.9,8.7,170,80,41.1,17.1,47,27,11.4,6.1,70,50,16.9,11.4,15,23,3.6,5.5,46,23,11.1,4.9,0,18,0,4.4,0,23,0,5.4,236,89,57,17.4,132,61,31.9,12.9,46,37,11.1,8.6,94400,10211,1.15706200482453,0.0219976363591093
56,Southwest Georgia,No,31788,3810,ZCTA,ZCTA5 31788,2341,289,642,188,27.4,7.3,421,153,18,6.2,228,101,9.7,4.1,335,120,14.3,4.8,403,151,17.2,6.1,260,125,11.1,5.1,28,53,1.2,2.3,24,39,1,1.7,1063,242,45.4,8.7,966,218,41.3,7.8,312,141,13.3,5.8,123000,42121,1.2511570965838,0.0319414504276513
57,Southwest Georgia,No,31789,3811,ZCTA,ZCTA5 31789,339,86,57,34,16.8,9.2,74,44,21.8,11.8,109,69,32.2,18.8,50,34,14.7,9.3,31,29,9.1,8.3,10,22,2.9,6.5,8,18,2.4,5.2,0,23,0,6.6,131,56,38.6,13.3,190,83,56,19.8,18,36,5.3,10.6,130200,19988,1.24325516070021,0.0158497395487382
58,Southern Georgia,No,31790,3812,ZCTA,ZCTA5 31790,507,124,204,91,40.2,15,141,78,27.8,13.8,59,37,11.6,6.7,42,36,8.3,6.8,61,39,12,7.1,0,18,0,3.6,0,18,0,3.6,0,23,0,4.4,345,120,68,16.8,162,64,32,10,0,34,0,6.8,67900,30151,0.769762494416433,0.0163117536505244
59,Southwest Georgia,No,31791,3813,ZCTA,ZCTA5 31791,2851,262,423,130,14.8,4.4,967,233,33.9,7.5,809,221,28.4,7.3,196,82,6.9,2.8,331,105,11.6,3.5,92,60,3.2,2.1,33,34,1.2,1.2,0,36,0,1.3,1390,267,48.8,8.2,1336,258,46.9,8,125,78,4.4,2.7,102200,9890,1.82495252949807,0.046862483605277
60,Southwest Georgia,No,31792,3814,ZCTA,ZCTA5 31792,4916,411,515,178,10.5,3.5,902,197,18.3,3.7,840,238,17.1,4.6,898,216,18.3,4.1,875,191,17.8,3.6,481,149,9.8,2.9,277,99,5.6,1.9,128,90,2.6,1.8,1417,266,28.8,4.8,2613,374,53.2,6.2,886,200,18,3.8,159100,8831,1.34854659856551,0.0521649603618366
61,Southern Georgia,No,31793,3815,ZCTA,ZCTA5 31793,2502,242,391,128,15.6,4.9,251,94,10,3.6,522,156,20.9,5.9,585,142,23.4,5.2,436,116,17.4,4.3,284,91,11.4,3.5,33,30,1.3,1.2,0,33,0,1.3,642,159,25.7,5.8,1543,241,61.7,7.6,317,102,12.7,3.9,157300,13154,1.19289215793301,0.0254690241374009
62,Southern Georgia,No,31794,3816,ZCTA,ZCTA5 31794,5552,412,1109,250,20,4.3,1506,327,27.1,5.5,950,202,17.1,3.4,735,183,13.2,3.1,696,167,12.5,2.9,401,122,7.2,2.1,131,64,2.4,1.1,24,57,0.4,1,2615,412,47.1,6.5,2381,319,42.9,4.8,556,150,10,2.6,106500,12906,1.24077337710098,0.028585668940544
63,SG / SW,No,31795,3817,ZCTA,ZCTA5 31795,577,99,199,81,34.5,12.8,202,77,35,11.9,23,16,4,2.7,107,55,18.5,9,40,30,6.9,5.1,6,16,1,2.7,0,18,0,3.2,0,23,0,3.9,401,112,69.5,15.3,170,65,29.5,10.1,6,33,1,5.7,67100,20006,0.728282625441646,0.0122740246005701
64,Southwest Georgia,No,31796,3818,ZCTA,ZCTA5 31796,328,72,58,39,17.7,11.3,77,46,23.5,13,45,28,13.7,7.9,68,35,20.7,9.8,42,40,12.8,12,37,35,11.3,10.4,0,18,0,5.6,1,19,0.3,5.7,135,60,41.2,16,155,60,47.3,15.2,38,44,11.6,13.1,137500,41622,0.982509133755551,0.0151783941358272
65,Southern Georgia,No,31798,3819,ZCTA,ZCTA5 31798,201,82,86,57,42.8,22.4,43,38,21.4,16.5,32,36,15.9,16.6,17,23,8.5,10.9,23,38,11.4,18.5,0,18,0,9.1,0,18,0,9.1,0,23,0,11.2,129,68,64.2,21.7,72,57,35.8,24.4,0,34,0,17.1,69100,49775,1.20117847944233,0.0194869945140919
66,River Valley,No,31801,3820,ZCTA,ZCTA5 31801,1202,188,242,88,20.1,6.7,292,109,24.3,8.2,149,74,12.4,5.8,151,79,12.6,6.3,111,62,9.2,5,219,111,18.2,8.8,38,57,3.2,4.7,0,23,0,1.9,534,140,44.4,9.4,411,125,34.2,8.9,257,127,21.4,10,119000,32342,1.16943558047336,0.0216002545020571
67,River Valley,No,31803,3821,ZCTA,ZCTA5 31803,1564,172,374,110,23.9,6.5,424,141,27.1,8.5,218,88,13.9,5.4,194,101,12.4,6.3,268,114,17.1,7.1,80,56,5.1,3.5,6,21,0.4,1.4,0,33,0,2.1,798,179,51,10,680,176,43.5,10.2,86,68,5.5,4.3,89400,32930,1.52225212050499,0.0703905557330632
68,River Valley,No,31804,3822,ZCTA,ZCTA5 31804,1979,179,157,96,7.9,4.8,137,73,6.9,3.6,161,80,8.1,4,292,124,14.8,6.1,664,179,33.6,8.5,519,155,26.2,7.5,49,52,2.5,2.6,0,33,0,1.7,294,121,14.9,6,1117,232,56.4,10.5,568,167,28.7,8,237500,22534,1.00318145200488,0.0131661290164545
